"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","instrument_id","snr","magsys","origin","altdata","ra","dec","ra_unc","dec_unc","created_at","streams","owner"
171728353,59512.54427079996,17.962221613717677,0.08909069001674652,18.929526596297336,ztfr,ZTF,1,12.18686491881522,ab,None,,178.3593078,10.8964901,,,2021-10-25T13:14:31.217578,kowalski-bot,ZTF Public
171863213,59512.54427079996,17.962221145629883,0.08909069001674652,18.62068748474121,ztfr,ZTF,1,12.18686491881522,ab,None,,178.3593078,10.8964901,,,2021-10-28T19:58:18.293191,ampelbot-jvs,
172517907,59512.54427079996,17.962200171627316,0.08909100294113158,18.92950134064646,ztfr,ZTF,1,12.186822113514069,ab,None,,178.3593078,10.8964901,,,2021-10-30T13:01:31.097931,kowalski-bot,ZTF Public
172518583,59517.536041699816,17.908300888138587,0.060492999851703644,19.295923872899216,ztfr,ZTF,1,17.9481296583038,ab,None,,178.359308,10.8964708,,,2021-10-30T13:04:49.039217,kowalski-bot,ZTF Public
172517908,59517.536041699816,17.908287197325958,0.06049268692731857,19.29591579850855,ztfr,ZTF,1,17.948222502707342,ab,None,,178.359308,10.8964708,,,2021-10-30T13:01:31.098025,kowalski-bot,ZTF Public
172523281,59517.536041699816,17.908287048339844,0.06049268692731857,19.968645095825195,ztfr,ZTF,1,17.948222502707342,ab,None,,178.359308,10.8964708,,,2021-10-30T13:35:16.209465,ampelbot-jvs,
172518584,59517.53840279998,17.910925266334083,0.04712411016225814,19.569703148996666,ztfr,ZTF,1,23.039930112626276,ab,None,,178.3592852,10.8964704,,,2021-10-30T13:04:49.039308,kowalski-bot,ZTF Public
172523282,59517.53840279998,17.910924911499023,0.047124110162258155,19.872987747192383,ztfr,ZTF,1,23.039930112626273,ab,None,,178.3592852,10.8964704,,,2021-10-30T13:35:16.209559,ampelbot-jvs,
172519526,59517.53840279998,17.91090028355388,0.04712399840354919,19.569680741132363,ztfr,ZTF,1,23.039984753847968,ab,None,,178.3592852,10.8964704,,,2021-10-30T13:07:58.477082,kowalski-bot,ZTF Public
172519527,59517.54077549977,17.95483779955054,0.0608539916574955,19.336000912096594,ztfr,ZTF,1,17.84165960499318,ab,None,,178.3592942,10.8964907,,,2021-10-30T13:07:58.477170,kowalski-bot,ZTF Public
172523283,59517.54077549977,17.954837799072266,0.0608539916574955,19.768709182739258,ztfr,ZTF,1,17.84165960499318,ab,None,,178.3592942,10.8964907,,,2021-10-30T13:35:16.209583,ampelbot-jvs,
172520457,59517.54077549977,17.95479964603438,0.06085399910807609,19.335962625649717,ztfr,ZTF,1,17.841657420572687,ab,None,,178.3592942,10.8964907,,,2021-10-30T13:11:07.636061,kowalski-bot,ZTF Public
172520458,59517.54314809991,17.868747888110697,0.07379575818777083,19.040555179439483,ztfr,ZTF,1,14.712718338031165,ab,None,,178.3593044,10.8965014,,,2021-10-30T13:11:07.636146,kowalski-bot,ZTF Public
